followup,neighbours,treatmentseeking,rfmda,imptreat,betared
0.0,0.0,2.0,0.0,0.25,0.75
0.0,0.0,2.0,0.0,0.25,0.75
0.0,0.0,2.0,0.0,0.25,0.9
0.0,0.0,2.0,0.0,0.25,0.9
0.0,0.0,2.0,0.0,0.5,0.0
0.0,0.0,2.0,0.0,0.5,0.0
0.0,0.0,2.0,0.0,0.5,0.5
0.0,0.0,2.0,0.0,0.5,0.5
0.0,0.0,2.0,0.0,0.5,0.75
0.0,0.0,2.0,0.0,0.5,0.75
0.0,0.0,2.0,0.0,0.5,0.9
0.0,0.0,2.0,0.0,0.5,0.9
0.0,0.0,2.0,0.0,0.75,0.0
0.0,0.0,2.0,0.0,0.75,0.0
0.0,0.0,2.0,0.0,0.75,0.5
0.0,0.0,2.0,0.0,0.75,0.5
0.0,0.0,2.0,0.0,0.75,0.75
0.0,0.0,2.0,0.0,0.75,0.75
0.0,0.0,2.0,0.0,0.75,0.9
0.0,0.0,2.0,0.0,0.75,0.9
0.0,0.0,2.0,0.0,0.9,0.0
0.0,0.0,2.0,0.0,0.9,0.0
0.0,0.0,2.0,0.0,0.9,0.5
0.0,0.0,2.0,0.0,0.9,0.5
0.0,0.0,2.0,0.0,0.9,0.75
0.0,0.0,2.0,0.0,0.9,0.75
0.0,0.0,2.0,0.0,0.9,0.9
0.0,0.0,2.0,0.0,0.9,0.9
0.0,0.0,2.0,0.0,1.0,0.0
0.0,0.0,2.0,0.0,1.0,0.0
0.0,0.0,2.0,0.0,1.0,0.5
0.0,0.0,2.0,0.0,1.0,0.5
0.0,0.0,2.0,0.0,1.0,0.75
0.0,0.0,2.0,0.0,1.0,0.75
0.0,0.0,2.0,0.0,1.0,0.9
0.0,0.0,2.0,0.0,1.0,0.9
0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,3.0,0.0,0.0,0.5
0.0,0.0,3.0,0.0,0.0,0.5
0.0,0.0,3.0,0.0,0.0,0.75
0.0,0.0,3.0,0.0,0.0,0.75
0.0,0.0,3.0,0.0,0.0,0.9
0.0,0.0,3.0,0.0,0.0,0.9
0.0,0.0,3.0,0.0,0.25,0.0
0.0,0.0,3.0,0.0,0.25,0.0
0.0,0.0,3.0,0.0,0.25,0.5
0.0,0.0,3.0,0.0,0.25,0.5
0.0,0.0,3.0,0.0,0.25,0.75
0.0,0.0,3.0,0.0,0.25,0.75
0.0,0.0,3.0,0.0,0.25,0.9
0.0,0.0,3.0,0.0,0.25,0.9
0.0,0.0,3.0,0.0,0.5,0.0
0.0,0.0,3.0,0.0,0.5,0.0
0.0,0.0,3.0,0.0,0.5,0.5
0.0,0.0,3.0,0.0,0.5,0.5
0.0,0.0,3.0,0.0,0.5,0.75
0.0,0.0,3.0,0.0,0.5,0.75
0.0,0.0,3.0,0.0,0.5,0.9
0.0,0.0,3.0,0.0,0.5,0.9
0.0,0.0,3.0,0.0,0.75,0.0
0.0,0.0,3.0,0.0,0.75,0.0
0.0,0.0,3.0,0.0,0.75,0.5
0.0,0.0,3.0,0.0,0.75,0.5
0.0,0.0,3.0,0.0,0.75,0.75
0.0,0.0,3.0,0.0,0.75,0.75
0.0,0.0,3.0,0.0,0.75,0.9
0.0,0.0,3.0,0.0,0.75,0.9
0.0,0.0,3.0,0.0,0.9,0.0
0.0,0.0,3.0,0.0,0.9,0.0
0.0,0.0,3.0,0.0,0.9,0.5
0.0,0.0,3.0,0.0,0.9,0.5
0.0,0.0,3.0,0.0,0.9,0.75
0.0,0.0,3.0,0.0,0.9,0.75
0.0,0.0,3.0,0.0,0.9,0.9
0.0,0.0,3.0,0.0,0.9,0.9
0.0,0.0,3.0,0.0,1.0,0.0
0.0,0.0,3.0,0.0,1.0,0.0
0.0,0.0,3.0,0.0,1.0,0.5
0.0,0.0,3.0,0.0,1.0,0.5
0.0,0.0,3.0,0.0,1.0,0.75
0.0,0.0,3.0,0.0,1.0,0.75
0.0,0.0,3.0,0.0,1.0,0.9
0.0,0.0,3.0,0.0,1.0,0.9
0.35,0.0,1.0,0.0,0.0,0.0
0.35,0.0,1.0,0.0,0.0,0.0
0.35,0.0,1.0,0.0,0.0,0.5
0.35,0.0,1.0,0.0,0.0,0.5
0.35,0.0,1.0,0.0,0.0,0.75
0.35,0.0,1.0,0.0,0.0,0.75
0.35,0.0,1.0,0.0,0.0,0.9
0.35,0.0,1.0,0.0,0.0,0.9
0.35,0.0,1.0,0.0,0.25,0.0
0.35,0.0,1.0,0.0,0.25,0.0
0.35,0.0,1.0,0.0,0.25,0.5
0.35,0.0,1.0,0.0,0.25,0.5
0.35,0.0,1.0,0.0,0.25,0.75
0.35,0.0,1.0,0.0,0.25,0.75
0.35,0.0,1.0,0.0,0.25,0.9
0.35,0.0,1.0,0.0,0.25,0.9
0.35,0.0,1.0,0.0,0.5,0.0
0.35,0.0,1.0,0.0,0.5,0.0
0.35,0.0,1.0,0.0,0.5,0.5
0.35,0.0,1.0,0.0,0.5,0.5
0.35,0.0,1.0,0.0,0.5,0.75
0.35,0.0,1.0,0.0,0.5,0.75
0.35,0.0,1.0,0.0,0.5,0.9
0.35,0.0,1.0,0.0,0.5,0.9
0.35,0.0,1.0,0.0,0.75,0.0
0.35,0.0,1.0,0.0,0.75,0.0
0.35,0.0,1.0,0.0,0.75,0.5
0.35,0.0,1.0,0.0,0.75,0.5
0.35,0.0,1.0,0.0,0.75,0.75
0.35,0.0,1.0,0.0,0.75,0.75
0.35,0.0,1.0,0.0,0.75,0.9
0.35,0.0,1.0,0.0,0.75,0.9
0.35,0.0,1.0,0.0,0.9,0.0
0.35,0.0,1.0,0.0,0.9,0.0
0.35,0.0,1.0,0.0,0.9,0.5
0.35,0.0,1.0,0.0,0.9,0.5
0.35,0.0,1.0,0.0,0.9,0.75
0.35,0.0,1.0,0.0,0.9,0.75
0.35,0.0,1.0,0.0,0.9,0.9
0.35,0.0,1.0,0.0,0.9,0.9
0.35,0.0,1.0,0.0,1.0,0.0
0.35,0.0,1.0,0.0,1.0,0.0
0.35,0.0,1.0,0.0,1.0,0.5
0.35,0.0,1.0,0.0,1.0,0.5
0.35,0.0,1.0,0.0,1.0,0.75
0.35,0.0,1.0,0.0,1.0,0.75
0.35,0.0,1.0,0.0,1.0,0.9
0.35,0.0,1.0,0.0,1.0,0.9
0.35,0.0,1.0,1.0,0.0,0.0
0.35,0.0,1.0,1.0,0.0,0.0
0.35,0.0,1.0,1.0,0.0,0.5
0.35,0.0,1.0,1.0,0.0,0.5
0.35,0.0,1.0,1.0,0.0,0.75
0.35,0.0,1.0,1.0,0.0,0.75
0.35,0.0,1.0,1.0,0.0,0.9
0.35,0.0,1.0,1.0,0.0,0.9
0.35,0.0,1.0,1.0,0.25,0.0
0.35,0.0,1.0,1.0,0.25,0.0
0.35,0.0,1.0,1.0,0.25,0.5
0.35,0.0,1.0,1.0,0.25,0.5
0.35,0.0,1.0,1.0,0.25,0.75
0.35,0.0,1.0,1.0,0.25,0.75
0.35,0.0,1.0,1.0,0.25,0.9
0.35,0.0,1.0,1.0,0.25,0.9
0.35,0.0,1.0,1.0,0.5,0.0
0.35,0.0,1.0,1.0,0.5,0.0
0.35,0.0,1.0,1.0,0.5,0.5
0.35,0.0,1.0,1.0,0.5,0.5
0.35,0.0,1.0,1.0,0.5,0.75
0.35,0.0,1.0,1.0,0.5,0.75
0.35,0.0,1.0,1.0,0.5,0.9
0.35,0.0,1.0,1.0,0.5,0.9
0.35,0.0,1.0,1.0,0.75,0.0
0.35,0.0,1.0,1.0,0.75,0.0
0.35,0.0,1.0,1.0,0.75,0.5
0.35,0.0,1.0,1.0,0.75,0.5
0.35,0.0,1.0,1.0,0.75,0.75
0.35,0.0,1.0,1.0,0.75,0.75
0.35,0.0,1.0,1.0,0.75,0.9
0.35,0.0,1.0,1.0,0.75,0.9
0.35,0.0,1.0,1.0,0.9,0.0
0.35,0.0,1.0,1.0,0.9,0.0
0.35,0.0,1.0,1.0,0.9,0.5
0.35,0.0,1.0,1.0,0.9,0.5
0.35,0.0,1.0,1.0,0.9,0.75
0.35,0.0,1.0,1.0,0.9,0.75
0.35,0.0,1.0,1.0,0.9,0.9
0.35,0.0,1.0,1.0,0.9,0.9
0.35,0.0,1.0,1.0,1.0,0.0
0.35,0.0,1.0,1.0,1.0,0.0
0.35,0.0,1.0,1.0,1.0,0.5
0.35,0.0,1.0,1.0,1.0,0.5
0.35,0.0,1.0,1.0,1.0,0.75
0.35,0.0,1.0,1.0,1.0,0.75
0.35,0.0,1.0,1.0,1.0,0.9
0.35,0.0,1.0,1.0,1.0,0.9
0.35,0.0,2.0,0.0,0.0,0.0
0.35,0.0,2.0,0.0,0.0,0.0
0.35,0.0,2.0,0.0,0.0,0.5
0.35,0.0,2.0,0.0,0.0,0.5
0.35,0.0,2.0,0.0,0.0,0.75
0.35,0.0,2.0,0.0,0.0,0.75
0.35,0.0,2.0,0.0,0.0,0.9
0.35,0.0,2.0,0.0,0.0,0.9
0.35,0.0,2.0,0.0,0.25,0.0
0.35,0.0,2.0,0.0,0.25,0.0
0.35,0.0,2.0,0.0,0.25,0.5
0.35,0.0,2.0,0.0,0.25,0.5
0.35,0.0,2.0,0.0,0.25,0.75
0.35,0.0,2.0,0.0,0.25,0.75
0.35,0.0,2.0,0.0,0.25,0.9
0.35,0.0,2.0,0.0,0.25,0.9
0.35,0.0,2.0,0.0,0.5,0.0
0.35,0.0,2.0,0.0,0.5,0.0
0.35,0.0,2.0,0.0,0.5,0.5
0.35,0.0,2.0,0.0,0.5,0.5
0.35,0.0,2.0,0.0,0.5,0.75
0.35,0.0,2.0,0.0,0.5,0.75
0.35,0.0,2.0,0.0,0.5,0.9
0.35,0.0,2.0,0.0,0.5,0.9
0.35,0.0,2.0,0.0,0.75,0.0
0.35,0.0,2.0,0.0,0.75,0.0
0.35,0.0,2.0,0.0,0.75,0.5
0.35,0.0,2.0,0.0,0.75,0.5
0.35,0.0,2.0,0.0,0.75,0.75
0.35,0.0,2.0,0.0,0.75,0.75
0.35,0.0,2.0,0.0,0.75,0.9
0.35,0.0,2.0,0.0,0.75,0.9
0.35,0.0,2.0,0.0,0.9,0.0
0.35,0.0,2.0,0.0,0.9,0.0
0.35,0.0,2.0,0.0,0.9,0.5
0.35,0.0,2.0,0.0,0.9,0.5
0.35,0.0,2.0,0.0,0.9,0.75
0.35,0.0,2.0,0.0,0.9,0.75
0.35,0.0,2.0,0.0,0.9,0.9
0.35,0.0,2.0,0.0,0.9,0.9
0.35,0.0,2.0,0.0,1.0,0.0
0.35,0.0,2.0,0.0,1.0,0.0
0.35,0.0,2.0,0.0,1.0,0.5
0.35,0.0,2.0,0.0,1.0,0.5
0.35,0.0,2.0,0.0,1.0,0.75
0.35,0.0,2.0,0.0,1.0,0.75
0.35,0.0,2.0,0.0,1.0,0.9
0.35,0.0,2.0,0.0,1.0,0.9
0.35,0.0,2.0,1.0,0.0,0.0
0.35,0.0,2.0,1.0,0.0,0.0
0.35,0.0,2.0,1.0,0.0,0.5
0.35,0.0,2.0,1.0,0.0,0.5
0.35,0.0,2.0,1.0,0.0,0.75
0.35,0.0,2.0,1.0,0.0,0.75
0.35,0.0,2.0,1.0,0.0,0.9
0.35,0.0,2.0,1.0,0.0,0.9
0.35,0.0,2.0,1.0,0.25,0.0
0.35,0.0,2.0,1.0,0.25,0.0
0.35,0.0,2.0,1.0,0.25,0.5
0.35,0.0,2.0,1.0,0.25,0.5
0.35,0.0,2.0,1.0,0.25,0.75
0.35,0.0,2.0,1.0,0.25,0.75
0.35,0.0,2.0,1.0,0.25,0.9
0.35,0.0,2.0,1.0,0.25,0.9
0.35,0.0,2.0,1.0,0.5,0.0
0.35,0.0,2.0,1.0,0.5,0.0
0.35,0.0,2.0,1.0,0.5,0.5
0.35,0.0,2.0,1.0,0.5,0.5
0.35,0.0,2.0,1.0,0.5,0.75
0.35,0.0,2.0,1.0,0.5,0.75
0.35,0.0,2.0,1.0,0.5,0.9
0.35,0.0,2.0,1.0,0.5,0.9
0.35,0.0,2.0,1.0,0.75,0.0
0.35,0.0,2.0,1.0,0.75,0.0
0.35,0.0,2.0,1.0,0.75,0.5
0.35,0.0,2.0,1.0,0.75,0.5
0.35,0.0,2.0,1.0,0.75,0.75
0.35,0.0,2.0,1.0,0.75,0.75
0.35,0.0,2.0,1.0,0.75,0.9
0.35,0.0,2.0,1.0,0.75,0.9
0.35,0.0,2.0,1.0,0.9,0.0
0.35,0.0,2.0,1.0,0.9,0.0
0.35,0.0,2.0,1.0,0.9,0.5
0.35,0.0,2.0,1.0,0.9,0.5
0.35,0.0,2.0,1.0,0.9,0.75
0.35,0.0,2.0,1.0,0.9,0.75
0.35,0.0,2.0,1.0,0.9,0.9
0.35,0.0,2.0,1.0,0.9,0.9
0.35,0.0,2.0,1.0,1.0,0.0
0.35,0.0,2.0,1.0,1.0,0.0
0.35,0.0,2.0,1.0,1.0,0.5
0.35,0.0,2.0,1.0,1.0,0.5
0.35,0.0,2.0,1.0,1.0,0.75
0.35,0.0,2.0,1.0,1.0,0.75
0.35,0.0,2.0,1.0,1.0,0.9
0.35,0.0,2.0,1.0,1.0,0.9
0.35,0.0,3.0,0.0,0.0,0.0
0.35,0.0,3.0,0.0,0.0,0.0
0.35,0.0,3.0,0.0,0.0,0.5
0.35,0.0,3.0,0.0,0.0,0.5
0.35,0.0,3.0,0.0,0.0,0.75
0.35,0.0,3.0,0.0,0.0,0.75
0.35,0.0,3.0,0.0,0.0,0.9
0.35,0.0,3.0,0.0,0.0,0.9
0.35,0.0,3.0,0.0,0.25,0.0
0.35,0.0,3.0,0.0,0.25,0.0
0.35,0.0,3.0,0.0,0.25,0.5
0.35,0.0,3.0,0.0,0.25,0.5
0.35,0.0,3.0,0.0,0.25,0.75
0.35,0.0,3.0,0.0,0.25,0.75
0.35,0.0,3.0,0.0,0.25,0.9
0.35,0.0,3.0,0.0,0.25,0.9
0.35,0.0,3.0,0.0,0.5,0.0
0.35,0.0,3.0,0.0,0.5,0.0
0.35,0.0,3.0,0.0,0.5,0.5
0.35,0.0,3.0,0.0,0.5,0.5
0.35,0.0,3.0,0.0,0.5,0.75
0.35,0.0,3.0,0.0,0.5,0.75
0.35,0.0,3.0,0.0,0.5,0.9
0.35,0.0,3.0,0.0,0.5,0.9
0.35,0.0,3.0,0.0,0.75,0.0
0.35,0.0,3.0,0.0,0.75,0.0
0.35,0.0,3.0,0.0,0.75,0.5
0.35,0.0,3.0,0.0,0.75,0.5
0.35,0.0,3.0,0.0,0.75,0.75
0.35,0.0,3.0,0.0,0.75,0.75
0.35,0.0,3.0,0.0,0.75,0.9
0.35,0.0,3.0,0.0,0.75,0.9
0.35,0.0,3.0,0.0,0.9,0.0
0.35,0.0,3.0,0.0,0.9,0.0
0.35,0.0,3.0,0.0,0.9,0.5
0.35,0.0,3.0,0.0,0.9,0.5
0.35,0.0,3.0,0.0,0.9,0.75
0.35,0.0,3.0,0.0,0.9,0.75
0.35,0.0,3.0,0.0,0.9,0.9
0.35,0.0,3.0,0.0,0.9,0.9
0.35,0.0,3.0,0.0,1.0,0.0
0.35,0.0,3.0,0.0,1.0,0.0
0.35,0.0,3.0,0.0,1.0,0.5
0.35,0.0,3.0,0.0,1.0,0.5
0.35,0.0,3.0,0.0,1.0,0.75
0.35,0.0,3.0,0.0,1.0,0.75
0.35,0.0,3.0,0.0,1.0,0.9
0.35,0.0,3.0,0.0,1.0,0.9
0.35,0.0,3.0,1.0,0.0,0.0
0.35,0.0,3.0,1.0,0.0,0.0
0.35,0.0,3.0,1.0,0.0,0.5
0.35,0.0,3.0,1.0,0.0,0.5
0.35,0.0,3.0,1.0,0.0,0.75
0.35,0.0,3.0,1.0,0.0,0.75
0.35,0.0,3.0,1.0,0.0,0.9
0.35,0.0,3.0,1.0,0.0,0.9
0.35,0.0,3.0,1.0,0.25,0.0
0.35,0.0,3.0,1.0,0.25,0.0
0.35,0.0,3.0,1.0,0.25,0.5
0.35,0.0,3.0,1.0,0.25,0.5
0.35,0.0,3.0,1.0,0.25,0.75
0.35,0.0,3.0,1.0,0.25,0.75
0.35,0.0,3.0,1.0,0.25,0.9
0.35,0.0,3.0,1.0,0.25,0.9
0.35,0.0,3.0,1.0,0.5,0.0
0.35,0.0,3.0,1.0,0.5,0.0
0.35,0.0,3.0,1.0,0.5,0.5
0.35,0.0,3.0,1.0,0.5,0.5
0.35,0.0,3.0,1.0,0.5,0.75
0.35,0.0,3.0,1.0,0.5,0.75
0.35,0.0,3.0,1.0,0.5,0.9
0.35,0.0,3.0,1.0,0.5,0.9
0.35,0.0,3.0,1.0,0.75,0.0
0.35,0.0,3.0,1.0,0.75,0.0
0.35,0.0,3.0,1.0,0.75,0.5
0.35,0.0,3.0,1.0,0.75,0.5
0.35,0.0,3.0,1.0,0.75,0.75
0.35,0.0,3.0,1.0,0.75,0.75
0.35,0.0,3.0,1.0,0.75,0.9
0.35,0.0,3.0,1.0,0.75,0.9
0.35,0.0,3.0,1.0,0.9,0.0
0.35,0.0,3.0,1.0,0.9,0.0
0.35,0.0,3.0,1.0,0.9,0.5
0.35,0.0,3.0,1.0,0.9,0.5
0.35,0.0,3.0,1.0,0.9,0.75
0.35,0.0,3.0,1.0,0.9,0.75
0.35,0.0,3.0,1.0,0.9,0.9
0.35,0.0,3.0,1.0,0.9,0.9
0.35,0.0,3.0,1.0,1.0,0.0
0.35,0.0,3.0,1.0,1.0,0.0
0.35,0.0,3.0,1.0,1.0,0.5
0.35,0.0,3.0,1.0,1.0,0.5
0.35,0.0,3.0,1.0,1.0,0.75
0.35,0.0,3.0,1.0,1.0,0.75
0.35,0.0,3.0,1.0,1.0,0.9
0.35,0.0,3.0,1.0,1.0,0.9
0.35,20.0,1.0,0.0,0.0,0.0
0.35,20.0,1.0,0.0,0.0,0.0
0.35,20.0,1.0,0.0,0.0,0.5
0.35,20.0,1.0,0.0,0.0,0.5
0.35,20.0,1.0,0.0,0.0,0.75
0.35,20.0,1.0,0.0,0.0,0.75
0.35,20.0,1.0,0.0,0.0,0.9
0.35,20.0,1.0,0.0,0.0,0.9
0.35,20.0,1.0,0.0,0.25,0.0
0.35,20.0,1.0,0.0,0.25,0.0
0.35,20.0,1.0,0.0,0.25,0.5
0.35,20.0,1.0,0.0,0.25,0.5
0.35,20.0,1.0,0.0,0.25,0.75
0.35,20.0,1.0,0.0,0.25,0.75
0.35,20.0,1.0,0.0,0.25,0.9
0.35,20.0,1.0,0.0,0.25,0.9
0.35,20.0,1.0,0.0,0.5,0.0
0.35,20.0,1.0,0.0,0.5,0.0
0.35,20.0,1.0,0.0,0.5,0.5
0.35,20.0,1.0,0.0,0.5,0.5
0.35,20.0,1.0,0.0,0.5,0.75
0.35,20.0,1.0,0.0,0.5,0.75
0.35,20.0,1.0,0.0,0.5,0.9
0.35,20.0,1.0,0.0,0.5,0.9
0.35,20.0,1.0,0.0,0.75,0.0
0.35,20.0,1.0,0.0,0.75,0.0
0.35,20.0,1.0,0.0,0.75,0.5
0.35,20.0,1.0,0.0,0.75,0.5
0.35,20.0,1.0,0.0,0.75,0.75
0.35,20.0,1.0,0.0,0.75,0.75
0.35,20.0,1.0,0.0,0.75,0.9
0.35,20.0,1.0,0.0,0.75,0.9
0.35,20.0,1.0,0.0,0.9,0.0
0.35,20.0,1.0,0.0,0.9,0.0
0.35,20.0,1.0,0.0,0.9,0.5
0.35,20.0,1.0,0.0,0.9,0.5
0.35,20.0,1.0,0.0,0.9,0.75
0.35,20.0,1.0,0.0,0.9,0.75
0.35,20.0,1.0,0.0,0.9,0.9
0.35,20.0,1.0,0.0,0.9,0.9
0.35,20.0,1.0,0.0,1.0,0.0
0.35,20.0,1.0,0.0,1.0,0.0
0.35,20.0,1.0,0.0,1.0,0.5
0.35,20.0,1.0,0.0,1.0,0.5
0.35,20.0,1.0,0.0,1.0,0.75
0.35,20.0,1.0,0.0,1.0,0.75
0.35,20.0,1.0,0.0,1.0,0.9
0.35,20.0,1.0,0.0,1.0,0.9
0.35,20.0,1.0,1.0,0.0,0.0
0.35,20.0,1.0,1.0,0.0,0.0
0.35,20.0,1.0,1.0,0.0,0.5
0.35,20.0,1.0,1.0,0.0,0.5
0.35,20.0,1.0,1.0,0.0,0.75
0.35,20.0,1.0,1.0,0.0,0.75
0.35,20.0,1.0,1.0,0.0,0.9
0.35,20.0,1.0,1.0,0.0,0.9
0.35,20.0,1.0,1.0,0.25,0.0
0.35,20.0,1.0,1.0,0.25,0.0
0.35,20.0,1.0,1.0,0.25,0.5
0.35,20.0,1.0,1.0,0.25,0.5
0.35,20.0,1.0,1.0,0.25,0.75
0.35,20.0,1.0,1.0,0.25,0.75
0.35,20.0,1.0,1.0,0.25,0.9
0.35,20.0,1.0,1.0,0.25,0.9
0.35,20.0,1.0,1.0,0.5,0.0
0.35,20.0,1.0,1.0,0.5,0.0
0.35,20.0,1.0,1.0,0.5,0.5
0.35,20.0,1.0,1.0,0.5,0.5
0.35,20.0,1.0,1.0,0.5,0.75
0.35,20.0,1.0,1.0,0.5,0.75
0.35,20.0,1.0,1.0,0.5,0.9
0.35,20.0,1.0,1.0,0.5,0.9
0.35,20.0,1.0,1.0,0.75,0.0
0.35,20.0,1.0,1.0,0.75,0.0
0.35,20.0,1.0,1.0,0.75,0.5
0.35,20.0,1.0,1.0,0.75,0.5
0.35,20.0,1.0,1.0,0.75,0.75
0.35,20.0,1.0,1.0,0.75,0.75
0.35,20.0,1.0,1.0,0.75,0.9
0.35,20.0,1.0,1.0,0.75,0.9
0.35,20.0,1.0,1.0,0.9,0.0
0.35,20.0,1.0,1.0,0.9,0.0
0.35,20.0,1.0,1.0,0.9,0.5
0.35,20.0,1.0,1.0,0.9,0.5
0.35,20.0,1.0,1.0,0.9,0.75
0.35,20.0,1.0,1.0,0.9,0.75
0.35,20.0,1.0,1.0,0.9,0.9
0.35,20.0,1.0,1.0,0.9,0.9
0.35,20.0,1.0,1.0,1.0,0.0
0.35,20.0,1.0,1.0,1.0,0.0
0.35,20.0,1.0,1.0,1.0,0.5
0.35,20.0,1.0,1.0,1.0,0.5
0.35,20.0,1.0,1.0,1.0,0.75
0.35,20.0,1.0,1.0,1.0,0.75
0.35,20.0,1.0,1.0,1.0,0.9
0.35,20.0,1.0,1.0,1.0,0.9
0.35,20.0,2.0,0.0,0.0,0.0
0.35,20.0,2.0,0.0,0.0,0.0
0.35,20.0,2.0,0.0,0.0,0.5
0.35,20.0,2.0,0.0,0.0,0.5
0.35,20.0,2.0,0.0,0.0,0.75
0.35,20.0,2.0,0.0,0.0,0.75
0.35,20.0,2.0,0.0,0.0,0.9
0.35,20.0,2.0,0.0,0.0,0.9
0.35,20.0,2.0,0.0,0.25,0.0
0.35,20.0,2.0,0.0,0.25,0.0
0.35,20.0,2.0,0.0,0.25,0.5
0.35,20.0,2.0,0.0,0.25,0.5
0.35,20.0,2.0,0.0,0.25,0.75
0.35,20.0,2.0,0.0,0.25,0.75
0.35,20.0,2.0,0.0,0.25,0.9
0.35,20.0,2.0,0.0,0.25,0.9
0.35,20.0,2.0,0.0,0.5,0.0
0.35,20.0,2.0,0.0,0.5,0.0
0.35,20.0,2.0,0.0,0.5,0.5
0.35,20.0,2.0,0.0,0.5,0.5
0.35,20.0,2.0,0.0,0.5,0.75
0.35,20.0,2.0,0.0,0.5,0.75
0.35,20.0,2.0,0.0,0.5,0.9
0.35,20.0,2.0,0.0,0.5,0.9
0.35,20.0,2.0,0.0,0.75,0.0
0.35,20.0,2.0,0.0,0.75,0.0
0.35,20.0,2.0,0.0,0.75,0.5
0.35,20.0,2.0,0.0,0.75,0.5
0.35,20.0,2.0,0.0,0.75,0.75
0.35,20.0,2.0,0.0,0.75,0.75
0.35,20.0,2.0,0.0,0.75,0.9
0.35,20.0,2.0,0.0,0.75,0.9
0.35,20.0,2.0,0.0,0.9,0.0
0.35,20.0,2.0,0.0,0.9,0.0
0.35,20.0,2.0,0.0,0.9,0.5
0.35,20.0,2.0,0.0,0.9,0.5
0.35,20.0,2.0,0.0,0.9,0.75
0.35,20.0,2.0,0.0,0.9,0.75
0.35,20.0,2.0,0.0,0.9,0.9
0.35,20.0,2.0,0.0,0.9,0.9
0.35,20.0,2.0,0.0,1.0,0.0
0.35,20.0,2.0,0.0,1.0,0.0
0.35,20.0,2.0,0.0,1.0,0.5
0.35,20.0,2.0,0.0,1.0,0.5
0.35,20.0,2.0,0.0,1.0,0.75
0.35,20.0,2.0,0.0,1.0,0.75
0.35,20.0,2.0,0.0,1.0,0.9
0.35,20.0,2.0,0.0,1.0,0.9
0.35,20.0,2.0,1.0,0.0,0.0
0.35,20.0,2.0,1.0,0.0,0.0
0.35,20.0,2.0,1.0,0.0,0.5
0.35,20.0,2.0,1.0,0.0,0.5
